id,file,headline,copy,link,description,cta,destination,publication
1,01-cererea-cu-context.png,Cererea pentru instalații poate începe DEJA cu poze.,"Imaginează-ți o solicitare care începe cu localitatea, lucrarea dorită și două fotografii relevante. Ai un punct de plecare pentru discuție.

Poți pregăti acest început chiar lângă contact: „Spune-ne localitatea, ce ai vrea să facem și trimite o fotografie de ansamblu și una de detaliu.”

Fotografiile oferă context. Evaluarea și prețul se stabilesc după ce clarificați lucrarea.

Noi putem pune această invitație pe site-ul de instalații, lângă butonul de WhatsApp. În exemplul propus vezi cum alegi informațiile de cerut pentru prima conversație.",Ce poți cere în primul mesaj,Un model simplu pentru solicitările de instalații.,Learn more,continuari.html#reclama-1,"Continuare editorială inclusă în pachet, nepublicată."
2,02-fotografia-cu-explicatie.png,Lucrarea e gata. Ce o face UȘOR de înțeles online?,"O fotografie cu traseele montate poate spune mai mult când are o explicație lângă ea.

Pentru fiecare lucrare pe care ai dreptul să o publici, notează ce ai făcut, în ce tip de spațiu și ce se vede în fotografie. De exemplu: „Distribuitor pentru încălzire în pardoseală, montat într-o casă.”

Așa îi dai cititorului repere pentru a recunoaște un proiect apropiat de al lui.

Noi putem organiza lucrările reale pe site, cu descrieri scurte. În continuare găsești o structură de prezentare pe care o poți aplica fotografiilor tale.",Cum prezinți o lucrare de instalații,"O fotografie, contextul și explicația potrivită.",Learn more,continuari.html#reclama-2,"Continuare editorială inclusă în pachet, nepublicată."
3,03-zona-de-lucru.png,Următoarea cerere poate începe chiar din ZONA ta.,"Imaginează-ți că cineva citește despre montajul unui calorifer și recunoaște localitatea lui în zona ta de lucru. Știe deja dacă are sens să te contacteze.

Pe site, enumeră localitățile în care te deplasezi. Dacă acoperirea diferă în funcție de lucrare, explică acest lucru lângă listă.

Un reper precis îl ajută să formuleze o cerere potrivită.

Noi putem prezenta zona de intervenție alături de servicii. Vezi un exemplu de formulare și cum îl adaptezi la deplasările pe care le faci efectiv.",Cum arăți unde te deplasezi,"Zona de lucru, explicată înainte de contact.",Learn more,continuari.html#reclama-3,"Continuare editorială inclusă în pachet, nepublicată."
4,04-de-la-lucrare-la-contact.png,De la poza instalației la mesaj: pasul MIC dintre ele.,"Un vizitator se uită la o lucrare asemănătoare cu ce își dorește acasă. Acela este un loc firesc pentru o invitație la discuție.

Lângă fotografie și explicație poți pune: „Discutăm o lucrare asemănătoare”, urmat de contact. Omul vede ce poate face în continuare.

Încearcă traseul pe propriul telefon: deschide lucrarea și verifică dacă poți ajunge ușor la apel sau WhatsApp.

Noi includem contact direct pe site și îl putem așeza lângă serviciile relevante. În exemplu vezi cum se leagă lucrarea de primul mesaj.",De la lucrare la primul mesaj,Un traseu simplu de verificat pe telefon.,Learn more,continuari.html#reclama-4,"Continuare editorială inclusă în pachet, nepublicată."
5,05-recomandarea-cu-link.png,O recomandare de instalator poate spune MAI mult decât un nume.,"Imaginează-ți că un client mulțumit trimite mai departe numele tău și un link cu serviciile și lucrările tale. Recomandarea are acum și context.

Poți pregăti o pagină ușor de trimis: cine ești, ce lucrări faci, unde te deplasezi și cum te contactează omul.

Verifică pagina pe telefon și asigură-te că aceste informații se găsesc ușor.

Noi le putem aduna într-un site pentru activitatea ta de instalații. Vezi ce merită să găsească cineva când primește linkul tău.",Ce pui în linkul de recomandare,"Servicii, lucrări, zonă și contact într-un loc.",Learn more,continuari.html#reclama-5,"Continuare editorială inclusă în pachet, nepublicată."
6,06-intrebarea-potrivita.png,"Pentru montajul caloriferului, prima întrebare poate SCHIMBA discuția.","„Este o înlocuire sau un montaj într-un spațiu nou?”

Această întrebare simplă îți oferă context pentru o solicitare de montaj calorifer. Apoi poți cere localitatea și o fotografie de ansamblu a locului.

Alege întrebările după serviciul concret. Pentru altă lucrare, începutul conversației poate fi diferit.

Noi putem explica pe site ce informații sunt utile înainte de contact. În exemplul propus vezi cum pregătești o solicitare pentru montaj, fără să înlocuiești evaluarea lucrării.",Cu ce întrebare începi solicitarea,Un exemplu pentru montajul unui calorifer.,Learn more,continuari.html#reclama-6,"Continuare editorială inclusă în pachet, nepublicată."
7,07-poza-de-ansamblu.png,O poză cu baia poate pregăti MAI bine prima discuție.,"Imaginează-ți o cerere pentru montajul unui obiect sanitar. Primești o fotografie de ansamblu și una a locului unde urmează lucrarea.

Cele două cadre pot oferi context diferit: primul arată spațiul, al doilea zona despre care vorbiți. Poți cere imagini făcute dintr-un loc sigur, fără demontări.

Explică această diferență chiar lângă invitația de a trimite fotografii.

Noi putem include indicația pe pagina serviciului. Vezi un exemplu de cerere care pregătește discuția, urmând ca soluția să fie stabilită după evaluare.",Ce fotografii cerem pentru context,"Ansamblu și detaliu, înainte de evaluare.",Learn more,continuari.html#reclama-7,"Continuare editorială inclusă în pachet, nepublicată."
8,08-serviciul-recunoscut.png,Clientul își poate recunoaște lucrarea din PRIMA propoziție.,"„Montaj și înlocuire baterii de baie și bucătărie.”

Este un exemplu de formulare care spune concret ce lucrare poate cere omul. Pe pagina ta, folosește denumirile serviciilor pe care le faci efectiv.

Pentru fiecare serviciu, adaugă o explicație scurtă și spune ce informații îți sunt utile la contact.

Noi putem organiza oferta ta de instalații în pagini și secțiuni ușor de parcurs. În continuare vezi cum transformi o listă de servicii într-o prezentare clară.",Cum explici serviciile de instalații,Denumiri concrete și următorul pas.,Learn more,continuari.html#reclama-8,"Continuare editorială inclusă în pachet, nepublicată."
9,09-etapele-lucrarii.png,O instalație bine făcută are o POVESTE de arătat.,"Unele detalii ale unei lucrări se văd cel mai bine în timpul montajului. Le poți păstra în fotografii și explica pe site.

Pentru un proiect real, alege cadre din etape relevante și notează ce ai făcut în fiecare. Publică doar imaginile pentru care ai permisiunea necesară.

Cititorul poate înțelege astfel cum ai abordat acea lucrare. Fotografiile ilustrează procesul, fără să țină loc de verificare tehnică.

Noi putem organiza povestea proiectului într-o prezentare clară. Vezi o structură simplă pentru fotografiile din etapele lucrării.",Cum prezinți etapele unei instalații,O structură pentru fotografiile proiectelor tale.,Learn more,continuari.html#reclama-9,"Continuare editorială inclusă în pachet, nepublicată."
10,10-programul-de-contact.png,Programul instalatorului poate face următorul apel mai SIMPLU.,"Imaginează-ți că cineva găsește serviciul de care are nevoie și vede chiar lângă telefon intervalul în care răspunzi.

Pe site, poți separa programul de contact de programarea lucrărilor. De exemplu, explică în ce interval preiei apeluri și cum confirmați disponibilitatea pentru intervenție.

Completează doar programul pe care îl poți respecta.

Noi putem așeza aceste informații lângă butoanele de contact. Vezi cum formulezi un program clar, cu pașii următori pentru o solicitare.",Cum explici când poți fi contactat,Programul de contact și stabilirea intervenției.,Learn more,continuari.html#reclama-10,"Continuare editorială inclusă în pachet, nepublicată."
