id,file,headline,copy,link,description,cta,destination
1,01-recomandarea.png,"Cum arată un instalator RECOMANDAT, pentru cineva care nu-l cunoaște?","Imaginează-ți că cineva primește numele tău de la un cunoscut. Recomandarea i-a atras atenția. Acum vrea să înțeleagă ce lucrări faci.

O prezentare simplă poate adăuga context: servicii, zona în care lucrezi și fotografii reale explicate pe scurt. Verifică dacă toate se găsesc ușor de pe telefon.

Noi putem aduna aceste repere într-un site pentru activitatea ta. În continuare vezi ce merită să găsească omul dincolo de numele recomandat.",Ce găsește omul după recomandare,O explicație practică pentru prezentarea serviciilor de instalații.,Learn more,continuari.html#reclama-1
2,02-sub-gresie.png,Lucrarea e sub gresie. Cum mai arăți ce ai făcut BINE?,"După finisaje, o parte din instalație nu se mai vede. Fotografii făcute în timpul lucrării pot păstra povestea etapelor.

Pentru un proiect real, alege un cadru de ansamblu, un detaliu relevant și rezultatul final. Explică ce ai realizat în fiecare imagine și publică doar materialele pentru care ai permisiune.

Fotografiile ilustrează procesul; nu țin loc de verificare tehnică. Noi putem organiza această poveste pe site. Vezi cum alegi cadrele care ajută cititorul să înțeleagă lucrarea.",Povestea instalației din spatele finisajelor,O explicație practică pentru prezentarea serviciilor de instalații.,Learn more,continuari.html#reclama-2
3,03-inainte-de-apel.png,Ce vede clientul ÎNAINTE să-ți spună „mi-a dat cineva numărul tău”?,"Replica din titlu este un scenariu. Între primirea unui număr și primul apel poate exista și o vizită pe pagina instalatorului.

Pe acea pagină, omul poate verifica ce servicii faci, unde te deplasezi și cum arată lucrările tale. Pune aceste informații înaintea detaliilor care cer explicații lungi.

Noi putem construi prezentarea și traseul către contact. În continuare găsești un mod simplu de a privi pagina prin ochii celui care încă nu te cunoaște.",Ce poate afla omul înainte să sune,O explicație practică pentru prezentarea serviciilor de instalații.,Learn more,continuari.html#reclama-3
4,04-lucrari-la-prezentare.png,Un instalator își poate trimite lucrările la PREZENTARE. Fără să meargă cu ele.,"Fotografiile și explicațiile pot prezenta o lucrare și atunci când tu ești ocupat la următoarea.

Alege exemple reale și spune ce ai făcut, în ce tip de spațiu și ce se vede în imagine. Adaugă serviciul asociat și un contact ușor de găsit.

Noi putem așeza aceste lucrări într-un site pe care îl trimiți mai departe. Vezi ce informații transformă o colecție de fotografii într-o prezentare utilă.",Cum îți prezinți lucrările de la distanță,O explicație practică pentru prezentarea serviciilor de instalații.,Learn more,continuari.html#reclama-4
5,05-poza-de-azi.png,Ce legătură are o poză făcută AZI cu o lucrare de peste șase luni?,"O fotografie făcută acum poate deveni, mai târziu, un exemplu pentru cineva care caută o lucrare asemănătoare. Cele șase luni sunt un scenariu, nu un termen promis.

Păstrează și contextul: ce ai montat, ce tip de proiect a fost și ce detaliu merită explicat. Așa poți folosi fotografia într-o prezentare clară.

Noi putem organiza pe site lucrările pe care alegi să le arăți. În continuare vezi ce să notezi odată cu fotografia.",Ce păstrezi lângă fotografia unei lucrări,O explicație practică pentru prezentarea serviciilor de instalații.,Learn more,continuari.html#reclama-5
6,06-poza-cu-poveste.png,Două poze cu același calorifer. De ce una spune MAI mult?,"Imaginează-ți aceeași fotografie în două prezentări. În prima apare singură. În a doua scrie ce lucrare ai făcut și în ce context.

De exemplu: „Montaj calorifer într-un spațiu nou.” Explicația adaugă informație pe care cititorul nu trebuie să o ghicească din poză.

Folosește numai descrieri care corespund proiectului real. Noi putem pune fotografiile și explicațiile împreună pe site. Vezi cum alegi detaliul care merită scris.",Ce adaugă explicația de lângă fotografie,O explicație practică pentru prezentarea serviciilor de instalații.,Learn more,continuari.html#reclama-6
7,07-orasul.png,Un singur cuvânt îi poate spune clientului: „Lucrează și AICI.”,"Cuvântul poate fi numele localității lui. Când zona ta de lucru este explicată, omul poate vedea dacă are sens să te contacteze.

Enumeră localitățile în care te deplasezi efectiv. Dacă disponibilitatea diferă în funcție de lucrare, spune asta lângă listă.

Noi putem așeza zona de intervenție lângă servicii și contact. În continuare vezi o formulare pe care o poți adapta deplasărilor tale.",Detaliul care clarifică zona de lucru,O explicație practică pentru prezentarea serviciilor de instalații.,Learn more,continuari.html#reclama-7
8,08-prima-intrebare.png,„Cât costă?” poate avea un început mai INTERESANT.,"Înainte să discutați prețul unui montaj, poți afla ce se dorește, unde este lucrarea și dacă obiectul sanitar este deja cumpărat.

Aceste întrebări pregătesc conversația. Nu înlocuiesc evaluarea și nu produc singure o ofertă.

Poți explica lângă contact ce informații sunt utile la început. Noi putem include această invitație în prezentarea serviciului. Vezi un model de solicitare cu mai mult context.",Ce poți afla înainte de discuția despre preț,O explicație practică pentru prezentarea serviciilor de instalații.,Learn more,continuari.html#reclama-8
9,09-poza-larga.png,Instalatorul vede un racord. Ce îi arată RESTUL pozei?,"Un detaliu arată zona despre care vorbiți. Un cadru mai larg poate arăta unde se află și ce spațiu o înconjoară.

Când ceri fotografii pentru context, poți explica această diferență: una de ansamblu și una de detaliu, făcute dintr-un loc sigur, fără demontări.

Noi putem pune indicația lângă contactul de pe site. În continuare vezi cum formulezi cererea și ce rămâne de stabilit la evaluare.",Ce adaugă fotografia de ansamblu,O explicație practică pentru prezentarea serviciilor de instalații.,Learn more,continuari.html#reclama-9
10,10-detaliul-dintre.png,Îi place lucrarea ta. Ce ar trebui să găsească IMEDIAT lângă ea?,"Un mod simplu de a discuta o lucrare asemănătoare.

Lângă fotografie și explicație, poți pune o invitație de contact. Verifică traseul pe telefon: găsești lucrarea, înțelegi serviciul, apoi ajungi la apel sau mesaj.

Noi includem contact direct în site și îl putem așeza lângă prezentarea serviciilor. În continuare vezi cum legi aceste elemente. O apăsare pe buton rămâne diferită de o solicitare sau un client.",Pasul dintre lucrare și conversație,O explicație practică pentru prezentarea serviciilor de instalații.,Learn more,continuari.html#reclama-10
